,title,review,rating,author,review_date
246,"Great little things, but I lost one.",I was about to give it two stars since I was so sad that I lost one but then I realized that was silly. These are so bright and small! Great for camping or anything. Solid construction. Batteries haven't died. I'll buy more of these if I need more flashlights.,5,baconschteam,2017-10-20
247,Excellent Flashlights,"These flashlights are awesome. They are very small but provide a super-bright light. I especially like the 3 settings: bright, dim and flash. The flash is almost like a strobe light and is perfect for walking the dog at night. The clip is great too. Highly recommend.",5,rd5565,2017-01-05
248,Perfect for camping,I ordered these to put in our camper for a light that didn't require a lot of room.  These are perfect and give off light  exactly what as  I wanted.  I would buy them again.,5,CMill,2018-04-12
249,Love it!,I like it and my daughter too. We will use them for camping next week!! ⛺️,5,"shaohua,cheng",2017-05-21
250,surprised,"very bright and portable.  will use in the car as a light for maps, task lighting, or, emergencies.  great for entering a dark movie theater.  would love to try out other products from this supplier.",5,Susie,2017-04-24
251,Perfect,"Perfect little flashlight. Feels very durable and rugged. Has three settings: bright, less bright, and strobe. Runs on a single battery, so it's cheap and easy to use.",5,Kody R. Latham,2017-09-12
252,Very good for the price!!,Awesome value for the price!! Well build and powerful enough - the lenses are a smart way of defusing the light - it works well.,5,M4RC3L0,2018-02-07
253,Good Flashlights,"Very small flashlights but they work well. I would have given a full 5 stars but one of them wanted to be annoying and not work 100% of the time. The light exposure was great, it gave a lot of bright light. They only take 1 AA battery which is great. I purchased a 24 pack of AA's with these flashlights- both were a good purchase.",4,Jessica Milbrand,2017-09-14
254,super easy to carry,"Ultra-convenient and compact flashlight and a group of two, super easy to carry, do not have to fear the dark place",5,Edward Chen,2018-03-26
255,"So good looking, durable and bright!!","I love them!! OMG they look so cool and are so bright!!! I was checking the tires a few days ago and suddenly the whole ""neighborhood"" went visible! lol..Awesome design and I love how durable they are!I'll definitely recommend to my everyone I know..",5,Mina,2018-01-06
257,Bright Light,"they are a great deal.  they are not high end, but for the price, they throw a lot of light with 1 battery.  Put them in all of the cars.",5,reallylooney,2017-12-12
260,It works great and the magnification is such a helpful thing,"This flashlight deal is a steal! This light put out a strong beam for its size and its very durable. I am a locksmith and this has become my everyday flashlight. It works great and the magnification is such a helpful thing. I would highly highly recommend this product because the brightness, durability and the cost. Get you one and i promise you will not regret it!",5,Twix,2017-09-14
261,It's rock solid!,Rock solid construction with great beams of light. Only use 1 AA size battery. It fits comfortably in my jeans pocket and compliments my EDC. Not to mention that the price is extremely reasonable.What's not to like? :)),5,Rodel P. Urmatan,2017-02-23
263,Brighter Than Expected,Wow these were a lot brighter than I expected. I bought one to attach to my home defense shotgun and the other for my car. The only draw back was not being able to get the belt clip off without snapping it but no biggie.,5,Calvin,2017-02-16
264,Light but bright,"It is small but mighty. This little flashlight is very bright. It also is light so I can carry in my pocket, purse, or on my belt loop.",5,ksmile,2018-04-10
266,Cheap but bright,really cheaply made and flimsy.  The light is bright and there's a flimsy lense you can move to adjust the beam... not bad all in all but not great... you get what you pay for.,3,Richard S. Melton,2017-05-20
269,Birght light,"This flashlight is like having  your own personal automobile headlight. set to high beam. Very bright flashlight and barely the size of you pinky finger, incredible!!",5,NHS,2017-06-27
270,One of 2 has failed,I use the flashlight with a 14500 battery. The flashlight works well - however one of the 2 flashlights has failed - I guess you get what you pay for,2,ShoreD,2017-09-27
272,Great value,"I picked these up for a song during one of the Amazon deals.  They are outstanding little flashlights, plenty bright.  I'd recommend the 14500 Li rechargeable batteries at 3.7V if you want the intensity to go up about 3x.",5,mjc6063,2017-05-23
273,"Decent flashlight, but mediocre design regarding the battery","Bought these to put in my hurricane preparedness kit. They are ok. They feel solid, and the brightness is fine. However, when I put in the battery and tightened the cap the light came on and stayed on despite depressing the button. I loosened the cap a bit and it worked properly, but it seems like a design flaw. Not the best flashlight I've purchased, but I got two for $9.00, so for the price they are ok.",3,Shawn,2017-09-07
274,Hit and Miss,"Of the two, one worked perfectly, the other would only switch on in dim mode, and needed to be switched to bright mode. They are build solidly and the working one does a good job. Amazon customer service is perfect as always and resolved the issue to my satisfaction. I would try them again,  my guess is I just got a bad one.",3,ME,2018-04-04
275,Decent flashlights,Decent set of heavy flashlights. I like that they use standard batteries as opposed to rechargeable ones. These lights are bright and get the job done. Good set for the price,4,IHeartArt,2017-04-24
276,Great Utilily Light for the Emergencies,Great for the car.  Inexpensive.  Cheap on batteries.  Small and can be put anywhere.  A lot of light for a single AA battery.,5,Hemlockfen,2017-12-22
277,Works good on 1.2 volt Rechargeable Ni-Mh Batteries!,"Nice well made little flashlight, they work good on 1.2 volt rechargeable Ni-Mh batteries.",5,ALFRED W,2018-04-15
278,Good buy,It works as described. Does the job for me. Kids use it all the time and they're still intact. Batteries last decent amount of time so worth the money,5,Angelo B,2017-11-09
279,great flashlight and size makes them convenient,These things seriously have range...great flashlight and size makes them convenient. Wicked bargain would buy again!,5,Harley chik,2017-12-14
280,"Love this little, bright light.","Excellent flashlight.  Puts out a lot of light from a compact, durable body, uses only a single AA battery.",5,HarishS,2017-10-18
281,Great gift for a guy as mine keep dissapearing!,I really liked these...so did the repairmen in my home as they walked away with the two I owned!  Great gift for a man apparently!,5,Rosalie A. Strawcutter,2017-10-12
282,Poor quality,"Poor quality.  I thought these would be pretty decent, like the J5 tactical flashlights, but they are not.  The reflector and insides of one has already come apart and is not easily repairable.",2,Amazon Customer,2017-09-24
283,and they look and feel pretty durable. Perfect to have in the house just ...,"I ordered these because it's hurricane season here in Hawaii. They came just in time, and they look and feel pretty durable. Perfect to have in the house just in case.",5,Nikki sotelo,2017-06-02
284,Drains battery fast but very bright and compact,"A little bummed at how fast it's draining the battery, but it is very bright. Loving the bright and dim modes but kind of hating the strobe. I guess if you have a BYO strobe party it's cool or you have to defend yourself against a racoon, but otherwise it's another button you have to push to get to bright mode again",5,Bigwolf Alpha,2017-09-09
285,Great little lights.  Strong light.,Excellent.  Just what I needed.,5,uclafan,2017-08-22
286,Great!,"These are very sturdy, durable flashlights. They are also decently bright with two different light settings. Would definitely recommend.",5,Tabitha,2017-10-08
287,Good Quality,Good little well made flashlight. Can't beat them for the price. They make nice gifts.,5,ST Harris,2018-04-11
288,Small but mighty!,"I’m actually surprised the amount of lights it puts out... and the ability to change the focus is amazing... Lowell made and compact.... After receiving the flashlight, I end up ordering another pair... try it and you won’t be disappointed...",5,Koopay,2017-09-21
289,I like this flashlight. I recommend it.,"I like this flashlight, they are very bright and focus adjustable. Compare with MINI MAGLITE, this is very good and save more using 1 AA battery compare with the other brands. I recommend it.",5,Villmater,2017-07-18
290,Awesome flashlight,These flashlights are awesome. They are small and able to be carried easily.  They give a lot of light and we got them just in time to use for a power outage which was perfect!,5,Samantha,2017-05-26
291,Not as bright as the Solaray one I have. ...,Not as bright as the Solaray one I have. These always want to start out flashing so I have to remember to push button twice.,3,MMTech1,2017-10-18
293,Five Stars,"It's compact, lightweight, focusable, and bright - exactly what I was looking for.",5,BH,2018-04-05
294,These LED Flashlights are so amazing an they last FOREVER,OMG;  who would buy regular flashlights anymore?  LED is the new bright light.... These LED Flashlights are so amazing an they last FOREVER!,5,Annabelle Lee,2017-08-05
295,Good for dealing with emergencies,"These work even when repeatedly submerged under water about 12"" deep.  Good for dealing with emergencies, floods, surf fishing...",5,ibmford,2017-08-29
296,Flashlights,Nice sized little flashlight! They are really bright and compact. Perfect for pocket sized emergencies and for keeping in your purse for extra reassurance.,4,JD1112,2017-05-25
297,Small flashlights with okay light.,Small flashlights with okay light.  Not something I'd use except maybe to find my way to the bathroom in the middle of the night,3,Picky Nancy,2017-09-02
298,Works great. Husband and Dad liked the flash lights and ...,Works great. Husband and Dad liked the flash lights and size is easy to take with you anywhere. Will buy again,5,victoria,2018-02-10
300,Very bright!,"Surprisingly small flashlights, but work great and are very bright. Like the option to focus or in focus  (spread the beam) the light.",5,Spaniel luver Todd,2017-09-11
301,These flashlights are amazing I have one in my car for emergencies and ...,These flashlights are amazing I have one in my car for emergencies and I have another one to use when I walk my dog. The lighting is great for long distance As well as short.,5,norman avelenda,2017-12-30
302,"Very Useful, & Bright!","Nice bright light. And it's cool that you can widen or narrow the beam, depending on the situation. Very happy with them.",5,Steven J. Charles,2017-09-19
303,won't turn off) but the other is just fine.,"one was broken (button turns on, selects through modes, won't turn off) but the other is just fine.",3,g,2018-01-16
304,Bright idea!,Tiny cheap flashlights that are very bright. I haven't tried freezing them in a block of ice or running over them with a Humvee but there's still time.,4,C. Fowler,2017-05-14
305,Really good low cost flash lights,Really good low cost flash lights. I got them last minute for a camping trip and they worked amazing.,5,Jonathan,2017-12-09
306,Absolutely wonderful for that price,"Got the 2-pack for 8$. Absolutely wonderful for that price. Reasonably bright and the focus adjusts really well too.For this price, I wouldn't think it twice.",5,Amazon Customer,2017-04-26
307,This flash light is very nice. It has an option of a dimmed light,"This flash light is very nice. It has an option of a dimmed light, flashing light, and also a bright and long extended light. I like it a lot and have used it  lot.",5,Sav,2017-03-08
308,Flash lights,The 1st flashlight I used at work fell apart in my pocket.The barrel that focuses the light  stripped out the inner threads.I will try the 2nd light this week.,1,Amazon Customer,2018-04-12
310,Very bright!,"Surprisingly small flashlights, but work great and are very bright. Like the option to focus or in focus  (spread the beam) the light.",5,Spaniel luver Todd,2017-09-11
311,These flashlights are amazing I have one in my car for emergencies and ...,These flashlights are amazing I have one in my car for emergencies and I have another one to use when I walk my dog. The lighting is great for long distance As well as short.,5,norman avelenda,2017-12-30
312,"Very Useful, & Bright!","Nice bright light. And it's cool that you can widen or narrow the beam, depending on the situation. Very happy with them.",5,Steven J. Charles,2017-09-19
313,won't turn off) but the other is just fine.,"one was broken (button turns on, selects through modes, won't turn off) but the other is just fine.",3,g,2018-01-16
314,Bright idea!,Tiny cheap flashlights that are very bright. I haven't tried freezing them in a block of ice or running over them with a Humvee but there's still time.,4,C. Fowler,2017-05-14
315,Really good low cost flash lights,Really good low cost flash lights. I got them last minute for a camping trip and they worked amazing.,5,Jonathan,2017-12-09
316,Absolutely wonderful for that price,"Got the 2-pack for 8$. Absolutely wonderful for that price. Reasonably bright and the focus adjusts really well too.For this price, I wouldn't think it twice.",5,Amazon Customer,2017-04-26
317,This flash light is very nice. It has an option of a dimmed light,"This flash light is very nice. It has an option of a dimmed light, flashing light, and also a bright and long extended light. I like it a lot and have used it  lot.",5,Sav,2017-03-08
318,Flash lights,The 1st flashlight I used at work fell apart in my pocket.The barrel that focuses the light  stripped out the inner threads.I will try the 2nd light this week.,1,Amazon Customer,2018-04-12
321,"Great flashlight, runs on AA batteries",The flashlights are great for the price. It fits the pocket and easy to carry around. It runs on one AA battery and bright enough for most of the tasks.,5,QW,2018-03-28
322,... I thought it would be but it's still a great price for the amount of flashlights you,they are not as bright as I thought it would be but it's still a great price for the amount of flashlights you receive,3,Ms Dee,2017-09-06
323,Five Stars,Didn't realize how much I'd be using these little flashlight but I use them nightly.,5,David Gunter,2017-12-27
325,Five Stars,Work good. Batteries  last a long time. Really bright,5,Raymond K. Rodgers,2017-06-17
328,Super Bright,Love these little lights. Super bright. The strobe light can be used as a defensive weapon. It totally can slow someone down.,5,Brent Smith,2017-09-22
330,Not bad for the price,Lights work well and are bright. You have to cycle by pressing buttons for the three different settings. Not bad for the price.,5,Mohit Gangwani,2017-12-01
331,Works great.,"Arrived in perfect condition, on time. Each one works great. Very happy. Have them scattered around the house.",5,Richard B.,2017-09-27
332,"Ok so far.....had about 2 months.,",Nice - in past flash lights crapped out after a few months - corroded with white stuff inside...will see how these do..,5,Tom Ward,2017-07-28
333,Nifty little flashlights!,These are pretty nifty flashlights! They are super bright but still nice and small. They seem to be very well made.,5,Rhinestone Mom,2017-08-02
334,Buy It. You'll love it.,"It just arrived this morning.  After first glance and touch, I think it's well worth the cost... .  Small, but rugged and with a great design.",5,thatdude5,2017-04-22
335,"Big light, little package",Great bang for the buck. It provides a lot of light for a product so small.,5,DM,2018-01-08
336,good lights,"bought these on sale, they came 2 to the package.  nice quality, good light output, appear to be long lasting on the batteries.",5,george,2017-06-09
337,They are decent!,"They work well, lightweight and somewhat powerful. They do the job. Good on the battery also.",4,Sutiikare,2017-10-24
338,... when they were only $8 They are such a great value and only take one AA battery,I bought these (2) when they were only $8  They are such a great value and only take one AA battery.,5,Kasey,2017-09-24
339,Rockbirds LED Flashlight - small but mighty,Excellent product at an excellent price!  Arrived on time and was as described.,4,A. Carroll,2017-12-23
340,"Great, strong flashlight.",Small and convenient. Can never have enough flashlights in case of emergency.,5,sailr,2017-12-24
342,Rockbirds LED small flashlights,"Nice bright little LED flashlights, can't beat them for the price, love the adjust-ability and the different light modes.",5,Mark K,2017-06-19
343,Five Stars,"I really like this item..Very light,and strong..Built well,and very handy around the house...I wish i could have 2 more...Thanks..Mr.Keiper!",5,Mr.Charles B. keiper,2017-04-07
345,One Star,No returns and that's no good,1,nicholas caporusso,2017-09-02
346,Five Stars,It's exactly as described and I received it quickly.,5,Richard Seeley,2018-04-15
347,Great Light,These are great little flashlights. Very compact and very bright. Small enough to fit in my pocket; and they are very sturdily built. Recommended.,5,RavSilver,2017-03-09
348,It's a great personal LED flashlight that easily fits into a pocket.,Tiny yet powerful and the battery charge seems to last a long time.,5,Coconut eater,2018-02-10
350,great if you want to warm your hands in say-Alaska,"When using for any amount of time these get really warm in your hand, great if you want to warm your hands in say-Alaska!",3,Pat Smith,2017-06-09
351,... bought a pair similar to these previously and really like the design,I had bought a pair similar to these previously and really like the design. This brand however was cheapened considerably. I was not impressed with the switch most of all. Being not as crisp as the other brand.,2,Edward McCarthy,2017-03-05
352,Very efficient and versatile little flashlights.,Great little flashlights with good power and variable light beam to fit different situations. They were very useful and efficient in a power outage during a hurricane. I ordered two more.,5,SusanF,2017-09-13
353,Very small which was awesome and it was doing what I bought it for ...,Very small which was awesome and it was doing what I bought it for until the light stopped turning on. Flashlights seem to have a mind of there own. These would work good for around the house and emergency use but not for any type of work/long periods of off and on usage.,2,Jennifer,2018-04-09
354,Small and bright,These lights are handheld lights and pretty bright. Easy to grip and can conveniently be stored just about anywhere. Good buy!,5,Partyof7,2017-05-06
355,The price for these was great. For such a tiny item,"The price for these was great.  For such a tiny item, they are very bright.  Great in case of a hurricane when candles just won't do.",4,Healthnut,2017-11-16
356,Not bad. One of them doesn't turn on anymore,"Not bad.  One of them doesn't turn on anymore, and not sure why.  Battery is good, and all connections seem good.  ???",3,Happy,2017-07-08
357,They work.  Inexpensive but don't feel cheap.,Bright little flashlights that feel very substantial for such a low cost.,5,Michael,2018-04-10
358,Five Stars,Really bright for the size one aa battery a plus,5,J. Madsen,2018-04-04
359,Great flashlight.,"I use this flashlight for work. It has awesome brightness and uses one AA battery as opposed to the expensive special batteries the tactical flashlights usually take. Works great for up close or zoom it in for distance. Definitely a good buy, especially for the price.",5,Michael Mills,2017-03-05
360,"Powerful, tough, inexpensive","GREAT little flashlights!  Powerful, tough, inexpensive.  Strongly recommend!",5,Amazon Customer,2018-01-17
361,Best of the best,"Best of the best, use regular AA battery, just one battery. Similar flashlight I had in the past use 3.7v battery. Pain in the neck to get one. So I discarded. This one is the best. I am giving it as a gift to many people. Thanks for designing with common sense battery.",5,Kevin Acharya,2017-09-27
362,good product,handy.  don't know how long batteries last yet as they're still too new.  :),4,Amazon Customer,2017-10-31
364,Five Stars,Excellent pocket or purse protection.  We ordered these for the hurricane season.  Perfect.,5,J. Dodson,2017-09-21
365,Inexpensive lighting.,Lite lighting lasting longer liberally.,5,Curious John,2018-04-09
366,Don't waste your money,These things are junk. They work for about 2 minutes and then they die. Not battery dead just dead. Don't waste your money,1,B-Rad,2017-08-18
367,Batteries not included.,Nice. Well made. Adjustable lens. Minimal packaging.  Batteries not included.,4,bluedot,2017-10-25
368,I love these flashlights,I love these flashlights. I bought for my son who's going on a camping trip. Very compact. Has three different settings.,5,elanie slade,2017-04-18
370,good,"works good, I used this during hurricane irma",5,Hailing L.,2018-02-27
371,Santa Flew right by,The lights are  Nice.  Several others are similar.however  promised the Xmas Delivery..  no-show- Still waiting for some type of acknowledgement.ps it kept saying out for delivery.  im rural and i froze three days waiting for the driver,4,Amazon Customer,2017-01-21
372,Five Stars,This was a great buy and they work well.  Good to keep in the car glove box.,5,Shirley,2017-10-15
373,I donated these to people that needed them in Texas ...,I donated these to people that needed them in Texas for the hurricane.  I am sure they are getting used,5,just joe,2017-10-05
374,Very good little lights. Nice and bright. Need to buy more of them.,Very good little lights. Nice and bright. Need to buy more of them.,5,Coz,2017-11-21
375,Bright for small,It is bright for a little flashlight. I always have it with me. I keep one in the car and one in my bag. I would buy this one again.,5,Nic Ng,2017-09-22
376,Perfect size and very bright,Got it for my granddaughter camping trip. Small size which was great and very bright light.,5,Stuart,2018-02-03
377,Two Stars,These are cheap knockoffs of a more quality product.  Not very bright.  Not worth the money.,2,Mega Matt,2017-07-29
378,Four Stars,Good flashlights at a good price.,4,Jimbo's Account,2018-04-14
379,Small but very bright.,Small but very bright. Bought four and keep in various places around house!,5,Edward F. Powers,2017-10-06
380,Five Stars,"Good quality construction, bright light, working with no issues, using for hiking, back packing and on the nightstand",5,Serpico322,2017-11-04
381,Four Stars,"Good little lites!  A bit cheaply made, however, you can't beat the price!",4,Amazon Customer,2017-10-02
383,They feel nice and hefty feel like theyre powerful,WOW are these bright. Theyre small but they pack quite the punch. They feel nice and hefty feel like theyre powerful. 10/10 i love em,5,Sherbear,2017-01-15
384,Three Stars,Have to press the button repeatedly to cycle through the options.,3,Megan,2017-11-01
385,Five Stars,THEY PUT THE OLD FLASH LITES TO SHAME. I HAVE BOUGHT MANY,5,Douglas,2017-12-04
386,Quality small size flashlights,The build quality is great and they were very useful during Hurricane Harvey but one of the flashlight in the 2-pack was defective and is hard to get it working.,3,Harsha B,2017-11-01
388,One Star,i have to buy batteries  china junk,1,smokey,2018-04-08
389,Pretty good.,works good.  Love that it takes 1 AA and its pretty bright for what it is.,5,Eric,2017-09-19
390,"Nice flashlight, Good value","Nice flashlight, Good value",5,KMS Squared,2018-04-10
391,came as a 2 pack one flashlight only turns on ...,"came as a 2 pack one flashlight only turns on in dim mode, flash and high mode no longer work, was used on two or three times. The second one still works",1,george,2017-07-24
392,They are easy to use and provide sufficient light despite their small ...,All six flashlights worked perfectly out of the box and allows us to have quality flashlights in multiple rooms around the house.  They are easy to use and provide sufficient light despite their small form factor.,5,"D,G.G.",2017-10-08
393,Four Stars,They work great and it only takes one battery but it is nothing special,4,GottaBlast,2017-10-01
394,Great price on this two pack,these babies are bright and do not really go through the batteries. Great price on this two pack.,5,James B.,2017-09-01
395,Good flashlights for the price,Very bright flashlight.  Used at the beach walking at night looking fir shells. Decent battery life,5,Eric,2018-03-04
396,Perfect,"Great product! These things are amazingly bright. I also like that you can adjust the beam from a smaller, focused beam to a wider beam.",5,CatCollins,2016-12-20
398,Solidly-Constructed Mini Flashlights,"This is a pair of solidly constructed, bright mini flashlights.Plan to leave one home and use the other for travel.",5,La Cabaña,2017-10-11
399,Love it. Small,"Little cute flesh lights! Love it. Small , handy and great quality.",5,Andrew,2018-03-31
402,Very Nice Flashlight(s),This small flashlight is small and shines very bight. Great deal for 2 Flashlights!,5,Rob in So. Calif,2017-07-21
403,Five Stars,"Great little flashlights, make good gifts.  Sturdy and provide bright light.",5,Dagny,2017-09-02
404,brite lite,awesome  little  lights,5,cb,2018-04-03
405,Five Stars,"Very nice, works great",5,Cwazy Wabbit,2018-04-11
406,Handy lil light,I got them today n love them. Small n handy. I put one in my daughters car,5,Jessbandit,2017-09-01
407,"nice and bright for as small as they are,","I like these little light, bought for the tool box, and are bright,",5,B D,2017-09-22
408,and I love that it comes in a pair,"Small, incredibly bright, and I love that it comes in a pair.",5,Sarah ,2017-12-14
410,Five Stars,"Great, powerful little flashlight that can focus its beam. Seems solid and sturdy.",5,Amazon Customer,2017-07-20
411,Good buy.,I got these for my older sons. They are very durable and compact. The light is bright enough. Good buy.,5,Heather,2017-04-10
413,Great little flashlights,"They work great, my some love them. Had a little problem figuring them out, but good now.",5,Daniel F. Kent,2017-06-08
415,Three Stars,nice for a small every day use,3,Adam de Garis,2017-05-15
416,"Pretty Good, Not as expected for any pinpoint viewing","Pretty Good, Not as expected for any pinpoint viewing, also the AA battery depletes very fast. However, When you get 4 of them with the Flash Mode, you got yourself an Instant Seizure!",4,Eric,2017-04-12
417,Five Stars,"pleased with purchase, just as described",5,Johnny K.,2018-01-07
420,Five Stars,These are amazingly good little flashlights.  Ten stars for the set!,5,Chris,2017-08-29
421,They work just fine.,The small flash lights are just what we needed.  They work just fine.,5,Mike,2017-09-19
422,Love the AA battery size,very bright. Love the AA battery size. I assume it can burn for many hours?,5,Robert Ackerman,2017-09-21
424,Four Stars,you get what pay for,4,a.miller,2018-03-25
425,"great, small but powerful","great ,  small but powerful .",5,Guy Moore,2018-02-16
426,Bright LED Flashlight,The lights are great LED lights. They came in handy during a recent camping trip and a late night going trip. Great Bargain!!,5,FreeFlow,2017-08-18
427,good deal work great and seem very durable thx,these lights work great  nice and bright good to keep in auto just  incase thx,5,hellokitty,2017-07-05
429,Five Stars,Love these flashlights! It does everything it said it would do!,5,Rose Williams,2018-04-09
430,One Star,One worked and the other would not.,1,Bookworm32,2017-09-20
431,Five Stars,Works as advertised. No issues.,5,ELWJR,2018-01-11
433,This product came quickly and in perfect condition. Easy to use,"This product came quickly and in perfect condition. Easy to use, accurate, durable, and very useful in our camping night. Great buy.",4,Jullia,2018-04-09
434,Five Stars,"i like this flashlight, its size and weight are perfect for its performance",5,Abdullah,2017-08-01
435,Right Size,Right size. Easy to store in small emergency bag.,5,J. Dal,2017-10-19
436,Best $4.00 dollar light we have had.,"After getting screwed by the seller Vaya I bought this 2 pack. Not bad for a $4 flashlight. The clips are strong, might have to modify the clip. I'm happy with this product. Get what you pay for. I waited nearly 2 months for the Vaya and never did get it. This one I got overnight.",4,Leslie Dixon,2017-02-13
437,Five Stars,fantastic lights! great value super bright.,5,stevi,2017-11-20
438,Little blowtorches.,These units are very bright and powerful. Small but mighty. Fits in a glove box very well.,5,Lobsta,2017-04-23
439,Good to have as backups around the house or for,Very inexpensive and bright. Good to have as backups around the house or for camping,5,J. King,2017-05-19
440,Got a good deal on these $5 s piece,"Got a good deal on these $5 s piece, are very bright, or dimmer battery saving mode as well as strobe.",5,Dan,2017-07-08
441,These flashlights had high and low beam as well flashers ...,"These flashlights had high and low beam as well flashers...my only complaint their size..looking at the picture,I was expecting something bigger.",3,Tina Silmon,2017-09-12
443,Five Stars,Great product,5,mdnike,2018-03-15
444,Five Stars,These are great. Experienced a power outage. We're very helpful.,5,Roxanne Hayes,2017-08-31
445,I like the size and that it takes just one AA ...,"One of the two lights had a defective switch. The one working light is lower quality than similar products I have seen, but is bright enough. I like the size and that it takes just one AA battery. I'll keep this in my office for emergency use during power outages.",2,Guy,2017-09-18
446,Nice,Nice little flashlights... they have a distress flash as well as a dim and bright light!,5,Business mother,2017-04-18
447,Not for use with Vampires.,"I use this to fend off the demons that haunt me. Works good.  So far, I am demon-less.",5,Woodyard61,2017-04-28
448,Cool flashlights,Nice flashlights. Seem to be durable and perfect fit for a pocket.,5,Amazon Customer,2017-07-26
449,Good Deal!,"These are very nice, sturdy little flashlights, and it's hard to beat the price. They might not be as bright as other flashlights, but they certainly put out enough light for my needs.",5,Peggy Lankford,2017-09-26
450,Don’t like the strobe light function,One would not work. Amazon returned it. Don’t like the strobe light function.,3,J J,2017-10-21
451,great,unbelievable how bright for a little light with rechargeable battery. great price,5,tnymnfrt,2017-05-23
452,Solid,"These things are quality, didn't even know they had three light settings with purchase, pleasant surprise. Gonna buy my brother a couple",5,The_cool_crat,2017-05-04
454,Five Stars,Small and powerful!,5,Chris,2018-02-13
455,Five Stars,Good little flash light.,5,floyd morris,2018-04-04
456,Five Stars,Very well made aluminum lights for a great price.,5,K. Larson,2017-09-28
458,one broke the other was lost,one broke  the other was lost,3,gary,2017-12-21
459,Tactical... Why not?,"Bought them because who wouldn't want to have a tactical flash light for about $7? My friends and I laughed that we all had one for the same reason lol Until I had to use it during Hurricane Maria in Puerto Rico, it is a really good product.",5,Amazon Customer,2017-10-08
461,Great little light!,Very bright and compact.  Work great around the grill.,5,CC,2017-09-22
462,Rockbirds LED Flashlight,Perfect size for evening walks!  Nice and bright for the size!,5,Stratto4,2017-07-28
463,low price and perfect around the house,low price and perfect around the house. I slip one on my belt and take to job sites . Good light and easy to use,5,Amazon Customer,2017-05-13
465,Solid,goes perfectly with my bug out bag,4,Spunos,2017-12-02
466,Good deal!,The flashlights are light weight and very bright. Once you put the battery on it's a bit difficult to put the bottom back on. But it's a clear white light and not that yellow hue. So it's a great find especially since you get two! I use them when I'm walking around at night and it doesn't take up space at all.,4,Eric Castillo,2017-03-07
467,Five Stars,These lights are EXCELLENT for the price!,5,D. Agnone,2017-11-26
468,Changed battery stopped working,Don't use to often very bright.Broken spring not making good contact. After changing battery.iI initially gave it 5 Stars but changed it after it stopped.working.,1,Happy,2017-01-17
469,Poor quality,The button doesn't seem to have an actuation point so you seem to have to press rather firmly to change light settings but some times it actuates with little pressure. Edges on the frame feel uncomfortable.,1,Joseph Liu,2018-04-09
470,Five Stars,"Terrific lights you can carry for a walk, etc.  Fits in your pocket. Recommended.",5,Duane R. Collie,2017-10-13
471,Great product,"Light is bright, material is good and it worked as advertised",5,lori ann,2017-12-21
473,Best frickin lil light at great price you can see ...,Best frickin lil light at great price you can see 300 feet in the dark I have bought over 20 of them . JUST AWESOME PRODUCT,5,patrick,2017-09-08
474,Five Stars,Works well. Thank you.,5,jadek38,2018-01-02
478,Four Stars,It would've been nice if you could've adjusted the size of the light ? But still enjoy the light.,4,William Lee Hannibal,2017-07-28
480,Great flashligths,"Highly potent beams, sturdy and compact, great flashligths.",5,O. Andino,2017-11-20
481,They look nice but bad quality,"They look nice but bad quality, they rarely come on when u push the button.  Have to twist the battery cover part to get it to work",2,Amazon Customer,2018-01-05
483,Five Stars,I installed the batteries and they both worked great.,5,RMSMITH,2017-08-15
484,Works great. I like having only one AA batter to ...,Works great.  I like having only one AA batter to replace.,5,creekapeake,2017-10-19
485,Not the brightest,Not as bright I thought it would have but works good.,4,Nic,2017-08-07
486,"Bright, efficient, easy to use.",Very bright and efficient. Easy to use.,5,SilentMira,2017-10-04
488,Great,Small and powerful,5,tbrat,2018-04-09
489,Three Stars,Too small for regular use. They are listed as  mini though.,3,Mary,2017-07-10
490,Five Stars,Very bright and good for the price!,5,JoBean,2017-10-23
491,Great light,This was a daily deal.  Gave one to my husband-he loves it.,5,LCB,2017-07-10
492,Five Stars,GReat Product!,5,iamjosearchila,2018-02-11
493,Not as bright as expected. One very irritating feature ...,"Not as bright as expected. One very irritating feature is that pressing the ON button cycles through the flashlight's modes. So, whenever you turn it on, it turns on in low light, strobe, or high (in that order).",3,Seve,2017-09-11
494,Five Stars,"Great, sturdy little light for the money. A lot of light from such a small flashlight.",5,David H.,2017-06-16
497,Honestly not worth it I tried to use them for ...,Honestly not worth it I tried to use them for work and they worked half the time. The light would randomly start to change then just stop working. Just stay away from these,1,Amazon Customer,2017-09-14
498,The one that does is mediocre at best.,Only one works. The one that does is mediocre at best.,1,Bradey Christensen,2018-04-09
499,works great. Warning - keep away from kids,"Bright, works great.  Warning - keep away from kids.  Disconcertingly way too bright for the little ones.",5,Amazon Customer,2017-05-23
500,Great lights,Very bright and durable,5,jamie fiore,2017-11-18
501,Bargain LED Flashlight.,For $4.50? This is nuts. One for each car.,5,M. Brown,2017-09-01
502,They're decent little lights,for the price its worth it. no batteries included.,4,Richard,2017-07-16
503,Very small in size,VERY small in size (like 3 inches at most). Good for purses or kids backpacks.They work well tho.,3,CL0338745,2017-11-04
504,Don't pass em up,"Bright, nice portable size.  they fit in my glove box.",5,Jonathan N.,2017-06-23
507,Three Stars,"Fair value, very cheap and functional.",3,Paul Rodas,2017-08-28
